Twitter ID	Party
120720108	labour
15010349	libdem
35781487	labour
16708655	labour
399365200	conservative
19017675	ukip
80943076	conservative
124270074	labour
19825835	conservative
315283542	labour
738816230	snp
277496722	labour
429751008	conservative
144929619	conservative
75896448	labour
222477026	conservative
142003449	labour
40238442	labour
368312542	libdem
21408041	labour
106150560	labour
236953412	labour
326184301	conservative
56999787	libdem
162472533	labour
2583270112	snp
90432690	labour
102107018	labour
422184091	conservative
34244239	conservative
20992801	labour
532241033	conservative
66444899	snp
481120639	labour
386476845	labour
20589545	labour
387054267	labour
86192099	conservative
354911386	labour
376161322	labour
130154450	labour
94701778	labour
250311545	conservative
112398730	conservative
270926830	labour
34654362	labour
125312818	conservative
15133808	conservative
932446861	conservative
3011043981	snp
22388326	labour
457060718	conservative
81857654	conservative
144791011	labour
55059675	libdem
478679663	ukip
3000261466	snp
260824465	labour
20622055	libdem
77224096	labour
245849058	labour
201226827	labour
114704539	conservative
219976700	labour
77234984	labour
385936104	conservative
21746513	labour
77188973	labour
66774405	conservative
19977759	labour
131926473	conservative
295807687	conservative
288723364	conservative
20856796	labour
27212119	labour
21713090	labour
22159580	conservative
436576452	conservative
620277673	snp
595553662	libdem
158315486	conservative
50303152	labour
776022362	labour
318951712	labour
328576792	conservative
236395049	conservative
568174146	labour
237700394	conservative
154943205	conservative
810372954	conservative
21736214	labour
164226176	labour
77220402	libdem
20688804	labour
21744895	conservative
81367969	labour
52412027	conservative
143739561	labour
14567982	labour
269788397	conservative
14621024	labour
593650130	conservative
41901500	conservative
405412526	snp
903985238	conservative
188332701	conservative
242943134	conservative
24727170	conservative
616277319	libdem
18020612	labour
815306454	labour
131120978	conservative
44548822	conservative
122994639	conservative
124312153	libdem
22031058	conservative
120236641	snp
217148014	conservative
344737225	snp
155704077	ukip
454866285	labour
65357102	conservative
417975170	conservative
185183285	labour
19177609	conservative
927480949	labour
101262304	libdem
38281180	conservative
61781260	labour
397160160	conservative
85302744	libdem
407859240	labour
191807697	labour
79974944	labour
180013616	libdem
806388620	conservative
408454349	labour
118429508	labour
34374472	labour
482866177	conservative
20148039	labour
108935576	conservative
31373289	snp
475884318	conservative
132170123	libdem
58922682	conservative
20226550	conservative
169864622	labour
24211594	labour
377319290	labour
72341341	labour
333330899	libdem
14190551	labour
18627119	conservative
130092487	conservative
143212610	labour
1017280993	ukip
110767433	labour
20424362	conservative
55253731	conservative
499781930	labour
804596460	conservative
261782937	labour
106115066	libdem
124170781	conservative
108600854	libdem
223552246	conservative
100260784	conservative
309587728	conservative
227023883	labour
54515428	conservative
388250401	conservative
209029473	conservative
60585651	conservative
2801867041	snp
3319350172	snp
34940114	conservative
14104027	conservative
192935794	labour
11564602	conservative
47916280	conservative
78702900	conservative
287212988	snp
93880122	conservative
373442908	conservative
383238347	conservative
117777690	labour
103065157	conservative
58836363	conservative
36664451	conservative
300872531	labour
460401829	conservative
389443487	labour
20356313	conservative
27850283	libdem
19758148	conservative
77808680	labour
224655400	conservative
131517399	conservative
550076077	conservative
393947529	libdem
125270251	conservative
830775721	conservative
166598394	conservative
105800463	labour
187632184	conservative
388954439	labour
108587399	conservative
303707744	conservative
26584956	labour
624746312	labour
22639961	labour
554602188	conservative
496278040	conservative
2673995912	ukip
105838665	labour
112413126	ukip
2916227068	snp
222762589	conservative
25091518	labour
19295262	labour
2611515013	ukip
23749162	labour
77981490	labour
488386309	labour
328634628	labour
23452598	labour
107722321	labour
389434876	labour
744743599	ukip
407741330	labour
6058852	libdem
156992643	labour
494828691	labour
606306570	conservative
219298196	snp
78562045	conservative
14561015	conservative
19589280	conservative
70796349	conservative
280574046	snp
558445037	labour
245745762	labour
311986618	libdem
219330249	libdem
35305401	labour
38886883	libdem
50714939	conservative
759067032	conservative
312758175	conservative
14284260	conservative
32522100	labour
105880024	labour
388299335	labour
209020126	ukip
866252216	ukip
2875501614	ukip
215206530	libdem
173089105	labour
88974929	conservative
631874663	conservative
198912426	labour
253490735	labour
133236916	labour
95194160	labour
111411358	labour
393436815	labour
608932775	labour
728039018	conservative
22499765	libdem
859731314	conservative
479644360	libdem
32965648	labour
60738400	conservative
19858924	conservative
249709671	labour
113585486	conservative
357805905	labour
15453062	conservative
92498317	conservative
240202308	labour
19087569	conservative
14146330	labour
91786287	libdem
297967419	labour
609096352	labour
6364652	labour
14758838	conservative
80968760	conservative
160952087	snp
462856853	conservative
62613162	conservative
84563846	labour
386776248	conservative
14395178	conservative
155892458	conservative
28087982	conservative
211883434	snp
143779403	labour
20600229	labour
168592013	labour
20132840	conservative
111013369	conservative
45158266	libdem
43312141	labour
532351874	labour
14197060	libdem
32369044	labour
14933304	libdem
72883916	libdem
76650839	conservative
119074643	conservative
115643685	labour
368314502	conservative
415449314	labour
90646214	conservative
357472615	labour
